OP,filename,slice,cell_ch,cell_ID,day,treatment,hrs_incubation,repatch,hrs_after_OP,Rs,Rin,resting_potential,max_spikes,Rheobase,AP_heigth,TH,max_depol,max_repol,membra_time_constant_tau,capacitance,comments,rheo_ramp,AP_halfwidth,Rheobse_ramp,Unnamed: 27,rheos_ramp,comment, ,high K concentration,RMP_from_char
OP230420,23420061.abf,S1_D2,8,23420S1c8,D2,TTX,19,yes,29.63333333,8.27161387,30.60725912,-70.74584961,1,1300,48.88305664,-20.85571289,100.9521484,-27.46582031,13.25,864.8924303,29,565.9388646,1.504127172,,,,,,8 mM,-61.28396652
OP230420,23420072.abf,S2_D2,1,23420S2c1,D2,high K,19,yes,30.89666667,8.332682539,34.95685228,-45.67260742,13,700,70.45898438,-30.96313477,306.2744141,-40.64941406,15.85,430.6573798,30,462.1954065,1.473574913,,,,,,8 mM,-71.28873962
OP230420,23420077.abf,S2_D2,2,23420S2c2,D2,high K,19,yes,30.98388889,9.968065615,36.3802336,-68.51196289,24,400,84.40551758,-30.52978516,394.0429688,-75.07324219,11.6,390.6565262,31,765.9555319,0.930062058,,,,,,8 mM,-59.85708862
OP230420,23420082.abf,S2_D2,3,23420S2c6,D2,high K,19,yes,31.07722222,6.579656173,25.38582301,-61.50512695,17,700,76.82495117,-26.26342773,336.7919922,-56.640625,8.45,391.0870056,34,898.3632788,1.067489562,,,,,,8 mM,-64.32669205
OP230420,23420089.abf,S2_D2,4,23420S2c4,D2,high K,19,yes,31.39111111,8.203241825,33.07277794,-64.09912109,12,500,74.73144531,-27.57568359,170.4101563,-25.87890625,7.55,349.9270156,38,671.9390646,2.3157393,,,,,,8 mM,-61.24166061
OP230420,23420089.abf,S2_D2,7,23420S2_D2c7,D2,high K,19,no,31.39111111,9.301121412,48.02493093,-60.99243164,17,350,83.22753906,-30.51147461,270.5078125,-38.33007813,18.45,551.6145985,40,359.0886363,1.792339262,,,,,,8 mM,-60.2222229
OP230420,23420089.abf,S2_D2,8,23420S2c7,D2,high K,19,yes,31.39111111,7.713653313,30.01570082,-63.01269531,14,500,85.02807617,-32.37915039,240.8447266,-32.83691406,9,447.5144158,41,685.3961799,2.089426026,,,,,,8 mM,-60.07796478
OP220623,22623012.abf,S2,3,22623S2c3,D1,high K,0,no,9.266944444,6.567370956,21.87430608,-68.68286133,29,400,75.6652832,-29.70581055,292.2363281,-80.32226563,13.1,362.8578191,1,,0.808835298,,,,,,8 mM,-54.82799149
OP220623,22623012.abf,S2,5,22623S2c5,D1,high K,0,no,9.266944444,8.100154874,32.366858,-71.50878906,13,200,83.28857422,-37.43286133,383.0566406,-79.22363281,12.2,267.2256684,2,,0.866514786,,,,,,8 mM,-58.27890594
OP220623,22623012.abf,S2,6,22623S2c6,D1,high K,0,yes,9.266944444,7.850934614,20.51829705,-60.77880859,17,350,79.69970703,-38.04931641,223.3886719,-78.00292969,12.3,548.362449,3,,0.944889212,,,,,,8 mM,-58.9011615
OP220623,22623012.abf,S2,8,22623S2c8,D1,high K,0,no,9.266944444,10.76286348,43.03477568,-66.82739258,28,200,80.20019531,-34.03930664,260.0097656,-61.15722656,14.3,349.9495146,5,,1.080965273,,,,,,8 mM,-61.64262833
OP220623,22623020.abf,S3,2,22623S3c2,D1,Ctrl,0,no,11.15611111,8.286958234,73.17783032,-78.94897461,31,150,79.66918945,-35.22338867,283.203125,-113.1591797,14.9,175.9434955,7,,0.667559582,,,,,,8 mM,-59.97206573
OP220623,22623020.abf,S3,3,22623S3c3,D1,Ctrl,0,no,11.15611111,8.732339439,28.19744179,-63.03100586,18,350,89.12963867,-31.65893555,449.8291016,-78.97949219,11.4,378.0923077,8,,0.895560232,,,,,,8 mM,-60.65013351
OP220623,22623020.abf,S3,4,22623S3c4,D1,Ctrl,0,no,11.15611111,7.299165038,29.26620304,-75.79956055,24,200,81.53686523,-34.28955078,267.2119141,-70.06835938,16.95,354.8994249,9,,0.989486403,,,,,,8 mM,-63.04627823
OP220623,22623020.abf,S3,6,22623S3c6,D1,Ctrl,0,no,11.15611111,7.217536181,30.66001016,-76.63574219,30,100,90.75927734,-42.50488281,336.7919922,-99.24316406,21.65,376.9538789,11,,0.775832236,,,,,,8 mM,-59.41052475
OP220623,22623020.abf,S3,7,22623S3c7,D1,Ctrl,0,no,11.15611111,6.431786593,33.43171949,-60.28442383,27,300,77.34375,-33.05053711,314.6972656,-74.95117188,10.25,317.4593573,12,,0.889394928,,,,,,8 mM,-59.64039612
OP220623,22623029.abf,S4,1,22623S4c1,D1,TTX,0,yes,12.90611111,7.128821582,39.45025408,-65.27709961,26,400,76.55029297,-33.06884766,311.2792969,-57.00683594,10.2,231.4637119,14,,1.097791645,,,,,,8 mM,-61.15372162
OP220623,22623029.abf,S4,6,22623S4c6,D1,TTX,0,no,12.90611111,8.789322911,81.75947704,-60.29663086,32,200,74.55444336,-35.21118164,219.4824219,-60.66894531,12.1,155.183092,17,,1.019203423,,,,,,8 mM,-61.5940918
OP220623,22623036.abf,S3_D2,1,22623S3_D2c1,D2,Ctrl,22,no,31.92083333,7.400915041,32.47946783,-63.31176758,19,450,55.12084961,-27.94189453,163.9404297,-62.74414063,8.8,277.8019268,19,,0.854901289,,,,,,8 mM,-62.01176971
OP220623,22623041.abf,S2_D2,1,22623S2c2,D2,high K,22,no,33.24055556,17.87976547,65.92683559,-64.88037109,28,200,76.61132813,-34.50927734,269.2871094,-83.74023438,11.7,288.3682587,20,,0.964030634,,,,,,8 mM,-60.77813156
OP220623,22623044.abf,S2_D2,3,22623S2c6,D2,high K,22,yes,33.39055556,8.652365293,20.98416742,-64.83154297,18,550,74.90844727,-35.80322266,225.5859375,-58.10546875,0.15,10.75536105,21,,1.111147626,,,,,,8 mM,-61.2426886
OP220623,22623053.abf,S4_d2,8,22623S4c1,D2,TTX,22,yes,35.0525,29.64063094,78.98804495,-62.21313477,24,250,62.70141602,-32.11669922,180.9082031,-58.10546875,7.75,185.2312181,23,,0.999206084,,,,,,8 mM,-62.48835083
OP220623,22623056.abf,S4_D2,2,22623S4_D2c2,D2,TTX,22,no,35.45416667,8.975447709,87.66396215,-67.36450195,15,150,66.63208008,-29.07714844,192.8710938,-51.26953125,14.1,148.466838,24,,1.063604392,,,,,,8 mM,-58.72555771
OP240507,24507016.abf,S2,4,24507S2c4,D1,high K,0,no,10.99111111,12.36416637,72.87736705,-62.17041016,16,100,80.94482422,-38.04321289,271.3623047,-72.265625,27.45,506.1798537,7,,1.022462166,197.6765892,,,,,8 mM,-59.10916031
OP240507,24507016.abf,S2,6,24507S2c6,D1,high K,0,no,10.99111111,10.92189913,49.61267498,-53.90014648,23,200,84.91210938,-37.98828125,351.1962891,-76.29394531,15.3,409.2656327,9,,1.032390974,102.3934131,,,,,8 mM,-61.09294525
OP240507,24507029.abf,S3,2,24507S3c2,D1,Ctrl,0,no,13.35833333,30.02004502,50.41696127,-52.75268555,9,1200,67.16308594,-36.02294922,321.7773438,-59.81445313,0.15,45.9364486,12; exclude; Rs_end > 30,,0.962486019,520.9373646,,,,,8 mM,-58.46185867
OP240507,24507051.abf,S2_D2,4,24507S2c5,D2,high K,17,yes,29.12694444,18.9552835,50.32373039,-50.8605957,20,500,73.05908203,-35.09521484,314.3310547,-79.95605469,0.15,23.97658537,21; exclude; Rs_end > 30,,0.811532107,255.6685223,,,,,8 mM,-53.57775635
OP240507,24507060.abf,S3_D2,6,24507S3_D2c6,D2,Ctrl,17,no,31.47138889,12.18102556,45.63257558,-56.90917969,23,350,84.85717773,-37.09716797,332.8857422,-81.90917969,20.2,733.8288248,27,,0.899682815,249.6683223,,,,,8 mM,-61.83390396
OP231109,23n09004.abf,S1,1,23n09S1c1,D1,Ctrl,0,no,5.016944444,6.940828106,60.0252105,-73.32763672,41,150,85.76660156,-37.13989258,325.8056641,-96.31347656,26.35,471.1796999,0,,0.829697999,471.1657055,,,,,8 mM,-59.94780777
OP231109,23n09004.abf,S1,2,23n09S1c2,D1,Ctrl,0,no,5.016944444,9.160783254,94.60849635,-70.50170898,41,150,78.05175781,-35.68115234,270.6298828,-65.67382813,26.1,345.8329155,1,,1.052610637,289.9296643,,,,,8 mM,-54.33382431
OP231109,23n09004.abf,S1,5,23n09S1c5,D1,Ctrl,0,no,5.016944444,8.385924129,47.95658754,-71.57592773,33,150,86.98120117,-37.12768555,356.3232422,-75.07324219,15.25,375.8646108,3,,1.005146053,534.7078236,,,,,8 mM,-64.12757767
OP231109,23n09004.abf,S1,6,23n09S1c6,D1,Ctrl,0,no,5.016944444,6.30525859,45.78416717,-72.55249023,31,150,85.2722168,-34.19189453,318.7255859,-51.63574219,19.05,430.8008282,4,,1.253816758,598.2799427,,,,,8 mM,-61.03536026
OP231109,23n09004.abf,S1,7,23n09S1c7,D1,Ctrl,0,no,5.016944444,14.76206099,46.91589011,-66.07055664,28,300,72.86376953,-34.61914063,232.5439453,-67.26074219,9.9,344.7430393,5,,1.037331314,307.9902663,,,,,8 mM,-58.56504822
OP231109,23n09015.abf,S2,2,23n09S2c2,D1,high K,0,yes,5.535,8.860476921,71.09933762,-66.64428711,43,100,79.96826172,-37.5,257.5683594,-67.01660156,17.8,228.7334902,8,,1.026145745,253.7484583,,,,,8 mM,-60.68150299
OP231109,23n09015.abf,S2,7,23n09S2c7,D1,high K,0,no,5.535,9.106013132,96.0378979,-75.08544922,37,150,86.92016602,-36.98120117,331.6650391,-87.76855469,19.8,469.129718,11,,0.83326724,307.9902663,,,,,8 mM,-59.81362976
OP231109,23n09015.abf,S2,8,23n09S2c8,D1,high K,0,yes,5.535,11.87209051,78.30865164,-70.40405273,25,800,51.33666992,-25.72631836,136.5966797,-43.57910156,12.85,398.362157,12,,1.068929243,0,,,,,8 mM,-61.78157059
OP230426,23426003.abf,S1,8,23426S1c8,D1,Ctrl,0,no,21.42833333,9.104908937,128.6879089,-72.72949219,32,100,92.82836914,-44.3359375,492.6757813,-92.40722656,11.25,196.7129136,5,228.877629,0.824561445,,,,,,8 mM,-64.70461487
OP230426,23426011.abf,S2,8,23426S2c8,D1,high K,0,no,23.40777778,7.736325451,51.25116731,-70.17822266,30,200,88.26904297,-37.26196289,426.5136719,-88.37890625,17.3,357.2063012,7,478.845962,0.834236337,,,,,,8 mM,-60.40496033
OP230426,23426017.abf,S3,2,23426S3c2,D1,high K,0,no,24.36611111,5.957742218,30.59439828,-68.03588867,33,200,88.23852539,-36.65161133,432.6171875,-88.62304688,13.3,350.8972625,8,490.426348,0.811847012,,,,,,8 mM,-60.26938919
OP230426,23426017.abf,S3,4,23426S3c4,D1,high K,0,no,24.36611111,8.550426449,41.49446295,-72.94311523,43,200,79.94995117,-37.31689453,355.9570313,-91.18652344,13,309.8065455,9,534.977833,0.729802573,,,,,,8 mM,-60.25913116
OP230426,23426017.abf,S3,5,23426S3c5,D1,high K,0,no,24.36611111,7.225007513,38.36266736,-69.6105957,33,150,87.51220703,-38.7878418,412.5976563,-81.78710938,15,372.3636364,10,423.554118,0.895493486,,,,,,8 mM,-60.92206757
OP230426,23426017.abf,S3,6,23426S3c6,D1,high K,0,no,24.36611111,7.533919301,60.58603809,-69.48852539,26,100,86.51123047,-36.328125,417.6025391,-77.63671875,13.85,241.2742158,11,331.81106,0.904285424,,,,,,8 mM,-61.94321762
OP220426,22427010.abf,S2,3,22427S2c3,D1,TTX,0,yes,22.85555556,12.05885855,55.8917766,-70.34912109,26,200,74.19433594,-34.68017578,201.5380859,-66.28417969,25.05,441.3109677,1,,1.028770311,,,,,,15 mM,-59.46649429
